Georgia Tech,24,N,Florida State,21
Montana State,35,A,New Mexico,31
Southern Methodist,29,A,Nevada,24
Hawaii,35,H,Delaware State,14
Alabama-Birmingham,41,H,Alcorn State,3
Arkansas,70,H,Arkansas-Pine Bluff,0
Bowling Green,41,H,Fordham,17
Buffalo,30,H,Lafayette,13
Central Florida,57,H,New Hampshire,3
Central Michigan,66,H,Central Connecticut State,10
Coastal Carolina,55,A,Jacksonville State,27
Colorado,31,H,North Dakota State,26
Illinois,45,H,Eastern Illinois,0
Kansas,48,H,Lindenwood,3
Louisiana-Monroe,30,H,Jackson State,14
Missouri,51,H,Murray State,0
North Carolina,19,A,Minnesota,17
North Carolina State,38,H,Western Carolina,21
Rutgers,44,H,Howard,7
San Jose State,42,H,Sacramento State,24
Toledo,49,H,Duquesne,10
Tulane,52,H,Southeastern Louisiana,0
Tulsa,62,H,Northwestern State,28
Utah,49,H,Southern Utah,0
Wake Forest,45,H,North Carolina A&T,13
Army,42,H,Lehigh,7
Duke,26,H,Elon,3
Michigan State,16,H,Florida Atlantic,10
Oklahoma,51,H,Temple,3
Texas Christian,34,A,Stanford,27
Wisconsin,28,H,Western Michigan,14
Air Force,21,H,Merrimack,6
Alabama,63,H,Western Kentucky,0
Appalachian State,38,H,East Tennessee State,10
Arizona,61,H,New Mexico,39
Arizona State,48,H,Wyoming,7
Arkansas State,34,H,Central Arkansas,31
Auburn,73,H,Alabama A&M,3
Baylor,45,H,Tarleton State,3
Boise State,56,A,Georgia Southern,45
Brigham Young,41,H,Southern Illinois,13
California,31,H,California-Davis,13
Cincinnati,38,H,Towson,20
East Carolina,42,H,Norfolk State,3
Eastern Michigan,28,A,Massachusetts,14
Georgia,34,N,Clemson,3
Georgia Tech,35,H,Georgia State,12
Indiana,31,H,Florida International,7
Iowa,40,H,Illinois State,0
Iowa State,21,H,North Dakota,3
James Madison,30,A,Charlotte,7
Kansas State,41,H,Tennessee-Martin,6
Kentucky,31,H,Southern Mississippi,0
Liberty,41,H,Campbell,24
Louisiana,40,H,Grambling State,10
Louisiana Tech,25,H,Nicholls State,17
Louisville,62,H,Austin Peay,0
Marshall,45,H,Stony Brook,3
Maryland,50,H,Connecticut,7
Memphis,40,H,North Alabama,0
Miami FL,41,A,Florida,17
Michigan,30,H,Fresno State,10
Middle Tennessee State,32,H,Tennessee Tech,25
Mississippi,76,H,Furman,0
Mississippi State,56,H,Eastern Kentucky,7
Navy,49,H,Bucknell,21
Nebraska,40,H,Texas-El Paso,7
